site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,pH,SpC,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
NA_BH,WaDE_55,4/12/23,15:44,Berens,N,P,WS,14.2,8.32,356,27.83,3.827,,12.6642,14.3134,4.427,6.51,5.319,42.712,-0.384,-0.24,-1,59.842,8.654,-0.002,12961,10.87,144,1682,0.412,0.113,9,19,0.069,0.296,1.366,1.058,0.367,0.284,113.613,0.016,0.688,-0.008,0.003,-0.006,0.186,26.777,0.007,0.002,0.011,0.01,0.002,0,0.002,0.002,0,0.001,0,0.003,0,0.004,0,0,0.551
Tusculum_BK,WaDE_56,4/12/23,16:07,Berens,Y,F,WS,14.5,7.63,349,15.95,1.023,,4.0117,23.3708,7.709,36.552,286.752,51.813,-0.375,-0.217,-0.9,52.601,15.576,0.001,3240,2.428,7072,3035,0.279,0.176,10,5,0.039,0.089,0.878,0.347,0.214,0.154,104.937,0.024,0.277,-0.007,0.001,-0.005,0.028,39.518,0.01,0.002,0.013,0.012,0.002,0,0.003,0.002,0,0.001,0,0.001,0,0.004,-0.009,0,0.197
Tusculum_BL,WaDE_57,4/12/23,16:24,Berens,Y,F,WS,11.2,7.86,408,16.23,0.8383,,4.1984,23.8985,9.096,51.321,283.918,101.134,-0.374,-0.245,-0.88,82.259,5.995,-0.001,3729,6.081,6860,1403,0.222,0.172,13,2,0.024,0.04,0.174,-0.148,0.215,0.128,129.524,0.024,0.044,-0.007,0,-0.007,0.019,12.723,0.004,0.001,0.006,0.005,0,0,0.001,0.002,0,0.001,0,0.001,0,0.003,-0.016,0.001,0.154
Spellman_BM,WaDE_58,4/12/23,16:46,Berens,Y,F,WS,4.5,7.55,108,15.25,1.435,,1.9946,6.8679,8.025,58.33,53.697,79.863,-0.376,-0.189,-0.962,11.177,5.417,-0.001,3273,7.143,10914,3444,0.209,0.119,8,23,0.041,0.245,0.207,0.602,0.162,0.071,34.604,0.036,0.024,-0.006,0.001,-0.008,0.013,32.417,0.024,0.008,0.061,0.038,0.008,0.001,0.008,0.006,0.001,0.003,0,0.002,0,0.002,0.002,0.002,0.033
NBO5,WaDE_59,4/12/23,17:46,Berens,Y,F,WS,16,7.43,314,18.17,1.048,,1.8638,3.0124,5.122,20.248,75.713,36.723,-0.361,-0.21,-0.945,59.112,7.197,-0.001,866,2.427,3905,786,0.166,0.079,22,14,0.075,0.079,0.143,0.456,0.214,0.04,54.901,0.026,0.047,-0.006,0.001,0.054,0.019,211.506,0.014,0.003,0.022,0.015,0.003,0,0.003,0.002,0,0.001,0,0.001,0,0.001,-0.003,0,0.14
NBO3,WaDE_60,4/12/23,18:24,Berens,Y,F,WS,5.5,7.68,78,16.4,0.6397,,1.8702,2.1797,2.777,23.571,2.523,39.242,-0.387,-0.204,-0.902,8.788,4.828,-0.001,524,4.762,4196,693,0.232,0.112,3,4,0.018,0.024,0.099,0.652,0.159,0.055,8.926,0.011,0.087,-0.005,0.001,-0.008,0.016,28.38,0.015,0.004,0.045,0.017,0.003,0,0.002,0.002,0,0,0,0,0,0.005,-0.007,0,0.009
NBO2,WaDE_61,4/12/23,18:46,Berens,Y,F,WS,16,7.34,209,13.4,0.3578,,7.698,3.0815,1.95,23.671,60.192,29.026,-0.382,-0.222,-0.963,29.002,9.191,0.006,3794,2.712,4393,801,0.19,0.249,7,10,0.016,0.065,0.026,2.33,0.102,0.286,68.202,0.031,0.092,-0.008,0.011,-0.007,0.015,13.508,0.017,0.004,0,0.02,0.003,0,0.004,0.003,0,0.001,0,0.001,0,0.003,-0.014,0,0.088
MTN1.1,NA,4/12/23,16:13,Berens,N,P,WS,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTN1.3,NA,4/12/23,16:13,Berens,N,D,WS,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McArthur_AL,NA,4/12/23,12:41,Berens,N,D,WS,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
